gender;Near_Location;Partner;Promo_friends;Phone;Contract_period;Group_visits;Age;Avg_additional_charges_total;Month_to_end_contract;Lifetime;Avg_class_frequency_total;Avg_class_frequency_current_month;Churn
1;1;1;1;1;12;1;29;7.391.754.594.762.950;11.0;14;11.413.270.096.198.000;11.584.545.301.683.400;0
1;1;0;0;1;6;1;29;3.385.968.593.027.530;6.0;1;35.635.989.884.526.100;3.479.553.072.853.100;0
0;0;0;0;1;1;0;30;15.319.859.377.822.200;1.0;3;0.6363818009615023;0.0;1
1;1;0;0;1;12;1;29;10.015.813.043.665.000;12.0;1;3.899.715.123.776.590;37.098.548.788.808.000;0
1;1;0;0;1;1;1;32;2.760.798.821.905.470;1.0;1;14.206.371.562.255.400;10.431.012.098.788.500;1
0;1;0;1;0;6;0;27;17.955.545.728.024.300;6.0;6;3.393.160.619.358.790;32.825.153.464.860.900;0
0;0;0;0;1;1;0;29;5.773.000.650.327.490;1.0;0;1.491.187.497.274.360;12.468.065.037.921.200;1
0;1;1;0;1;6;0;29;16.787.521.108.842.400;6.0;5;3.311.349.561.669.340;32.434.118.858.397.000;0
1;1;0;1;1;6;0;27;31.805.389.694.141.400;6.0;3;0.8242833135958354;0.7957610492318434;0
0;1;0;0;1;1;0;28;24.236.650.054.262.400;1.0;15;14.594.094.470.402.300;13.203.716.289.772.100;0
0;1;1;1;1;6;1;27;1.591.489.236.862.270;5.0;3;35.115.681.790.970.100;3.528.885.687.703.050;0
0;1;1;0;1;1;1;32;4.467.250.817.468.880;1.0;1;17.716.919.792.557.100;16.878.719.123.797.600;0
0;1;0;0;1;12;1;32;8.785.613.947.441.280;12.0;1;0.0;0.0;0
0;1;0;0;1;12;0;32;131.114.586.424.149;12.0;3;2.374.935.353.569.160;22.650.888.942.452.900;0
0;1;1;1;1;12;0;29;2.089.807.514.639.270;12.0;12;30.835.027.485.045.400;3.137.978.891.402.040;0
0;1;0;0;1;6;0;26;24.351.068.017.558.100;5.0;4;16.950.063.019.979.700;16.781.187.218.678.700;0
0;1;0;0;1;12;1;33;18.859.086.256.820.400;12.0;11;0.5611384840428737;0.5659106205423078;0
0;1;0;0;0;1;0;34;6.574.274.262.265.580;1.0;1;10.699.892.680.002.300;10.519.945.422.537.700;0
1;1;0;0;1;1;1;32;14.254.721.257.839.900;1.0;21;33.723.138.038.385.400;33.157.149.345.500.700;0
1;1;1;1;1;12;1;25;17.903.883.962.297.500;12.0;12;17.949.385.766.908.900;1.716.777.789.644.880;0
1;1;0;1;0;6;1;35;2.332.395.478.031.670;6.0;0;1.270.751.504.397.160;12.065.910.354.788.100;0
0;1;1;1;1;12;0;33;5.135.184.497.156.920;12.0;5;29.452.379.650.144.000;3.008.917.866.863.640;0
0;1;1;1;0;1;0;25;16.160.734.904.259.300;1.0;1;0.8789498475034133;0.00924408116672415;1
0;1;0;0;1;12;0;36;10.890.944.277.802.200;12.0;1;2.046.309.893.657.250;20.797.042.598.139.500;0
0;1;1;1;0;1;1;30;2.617.131.880.951.670;1.0;4;38.633.293.186.237.800;38.082.617.008.204.700;0
1;1;1;0;1;12;0;29;33.248.904.105.476.400;9.0;4;30.714.307.544.217;31.128.179.561.846.000;0
1;1;1;0;1;6;0;29;13.934.952.378.010.900;6.0;8;1.391.037.096.478.520;13.544.371.854.288.500;0
1;1;0;0;1;1;0;26;5.418.423.621.080.760;1.0;0;0.8540792567085165;0.0;1
1;1;1;1;1;6;0;33;11.509.911.772.527.700;6.0;3;33.732.375.833.283.100;33.783.911.776.787.000;0
1;1;0;1;1;1;1;25;15.295.423.818.790.000;1.0;12;2.915.044.970.361.450;28.685.849.547.070.900;0
0;1;0;0;1;6;0;27;27.299.718.088.898.100;6.0;12;2.288.928.344.890.010;22.043.292.947.378.500;0
1;1;0;0;1;1;0;33;2.042.615.056.608.930;1.0;6;18.025.185.415.587.100;17.216.235.470.768.000;0
1;0;1;0;1;1;0;29;373.066.503.119.564;1.0;0;16.858.228.409.402.500;16.617.420.771.398.700;0
1;1;0;1;1;1;1;30;2.529.156.830.285.070;1.0;1;1.491.547.003.063.830;10.592.608.497.344.400;1
0;1;0;0;1;6;1;24;1.754.737.156.770.650;4.0;6;30.056.564.705.977.400;29.871.328.008.335.500;0
0;1;0;0;1;12;1;23;34.972.072.319.098.100;11.0;3;0.029427566207866237;0.2131890921930141;0
0;1;1;1;0;1;0;30;1.946.691.783.286.320;1.0;4;18.930.153.973.176.500;19.009.430.377.531.800;0
1;1;0;0;1;6;1;30;1.344.978.468.662.890;6.0;2;16.869.872.332.841.500;17.088.797.675.468.900;0
0;1;0;0;1;6;1;27;2.369.158.278.764.980;6.0;0;0.9964930166420368;0.0;1
1;1;1;1;1;6;0;28;11.577.487.796.084.100;6.0;2;0.6335916085168876;0.7550997925776941;0
1;1;1;1;1;1;0;34;16.686.275.423.620.800;1.0;10;0.0;0.0;0
0;1;1;0;1;1;1;28;26.230.956.844.586.700;1.0;2;10.266.105.076.125.600;0.9604870154524944;1
0;1;1;0;1;6;0;32;5.577.441.782.254.430;5.0;6;0.8135614904122801;0.8746773672175823;0
0;1;1;1;0;6;0;34;7.264.111.198.794.710;6.0;2;0.0;0.0;0
1;1;0;0;1;1;0;28;42.160.809.042.705.700;1.0;1;0.4250114097298257;0.6052465413331591;1
0;1;1;0;1;6;0;30;9.537.852.877.345.210;6.0;2;29.173.741.573.753.800;2.968.503.817.781.410;0
1;1;1;1;1;1;1;31;1.639.731.019.398.780;1.0;6;14.245.181.139.541.100;10.359.563.100.429.700;0
0;1;0;0;1;1;0;28;35.110.895.275.635.000;1.0;1;1.704.473.441.832.290;0.8869797239670347;1
1;1;0;0;1;1;1;30;4.145.433.842.898.420;1.0;3;28.483.272.840.904.200;28.631.626.362.637.600;0
0;1;0;0;1;1;0;27;15.206.524.646.464.400;1.0;1;10.757.009.693.441.600;15.809.020.013.086.400;1
1;1;0;0;1;6;0;27;12.233.561.541.666.700;6.0;7;2.399.736.098.485.750;23.397.980.647.546.900;0
1;1;1;0;0;1;0;27;2.280.719.505.992.230;1.0;0;17.193.771.214.690.100;1.340.513.652.956.490;1
0;1;1;1;1;12;0;26;17.497.805.438.258.400;11.0;0;10.616.442.534.670.200;10.272.294.821.392.900;0
1;1;1;1;1;6;0;29;13.456.411.185.989.500;5.0;0;17.258.345.652.501.200;0.8948147737986513;1
0;1;0;0;1;1;0;24;31.340.568.586.282.800;1.0;1;0.4650452286466966;0.0;1
1;1;0;0;1;1;0;24;21.540.890.983.725.200;1.0;2;17.821.071.683.054.300;21.269.777.129.187.500;1
1;0;0;0;1;1;0;30;839.841.697.871.205;1.0;2;18.513.134.345.335.900;13.633.300.281.609.100;1
1;0;0;0;1;1;1;30;24.951.308.813.677.900;1.0;2;0.8754402522144942;1.002.298.541.581.710;0
1;1;0;0;1;1;0;32;24.108.037.796.680.600;1.0;5;38.249.788.306.248.700;41.000.039.575.190.000;0
0;1;1;0;1;6;1;30;6.878.617.060.962.520;6.0;4;15.220.966.434.730.800;16.244.360.306.453.700;0
0;0;0;0;1;1;0;25;2.777.136.524.685.850;1.0;12;34.116.349.557.496.100;33.417.801.704.179.300;0
1;1;1;0;1;1;1;28;132.144.631.872.878;1.0;1;37.154.929.789.970.000;3.907.798.981.498.430;0
1;1;1;1;1;6;1;26;7.317.954.865.693.330;6.0;7;0.6317305922219072;0.7020948185059079;0
0;1;0;1;1;1;0;24;8.365.564.541.127.110;1.0;0;0.2689192695010907;0.10264897850772836;1
1;1;0;0;1;1;0;23;2.772.516.717.934.960;1.0;1;17.405.804.733.781.500;11.353.422.739.039.800;1
0;1;1;1;1;6;1;28;28.783.547.410.585.200;5.0;5;2.946.074.825.900.820;29.358.866.076.199.300;0
1;1;1;1;1;1;0;25;3.433.285.789.841.670;1.0;3;0.11873387559726135;0.0;1
1;1;1;0;1;12;1;30;25.142.859.359.073.500;11.0;4;117.374.771.802.435;1.297.812.288.876.330;0
0;1;0;0;1;6;0;28;3.293.942.560.366.570;6.0;4;22.465.993.825.465.000;23.200.048.335.825.300;0
0;1;0;0;1;1;0;26;12.369.663.367.051.900;1.0;0;2.370.527.312.090.500;26.467.698.174.213.500;1
1;0;1;0;1;1;0;27;2.233.167.910.602.750;1.0;5;0.47477651870494003;0.5025592116201367;0
1;1;1;0;1;12;1;26;28.737.502.094.361.100;10.0;4;14.940.636.354.312.600;13.973.639.760.045.600;0
1;0;0;0;0;1;0;28;16.877.758.597.340.700;1.0;6;2.191.897.557.124.220;21.428.509.911.826.300;0
0;1;1;0;1;1;0;28;3.403.376.306.136.840;1.0;3;3.774.787.369.574.620;37.568.045.419.689.800;0
0;1;1;1;1;1;0;31;6.075.928.811.888.380;1.0;1;2.484.539.409.878.810;13.809.612.899.308.600;1
0;1;0;0;1;6;1;21;2.329.395.501.524.930;5.0;0;21.754.577.652.294.500;13.714.960.723.553.700;1
1;1;0;0;1;6;0;25;10.170.260.431.483.700;5.0;0;0.6698056577616651;0.363487178436626;1
1;1;1;0;1;6;0;30;17.912.385.201.927.100;6.0;3;29.386.727.290.689.500;2.878.774.224.056.150;0
1;1;1;1;1;6;1;31;2.330.183.743.832.830;6.0;6;10.401.576.639.009.300;0.9848822199189222;0
1;1;0;0;1;1;0;26;12.538.696.288.946.200;1.0;0;13.809.212.509.032.200;0.2700311708744477;1
1;1;0;0;1;1;0;26;31.121.602.708.977.300;1.0;3;17.469.905.991.082.200;10.234.742.455.518.200;1
1;1;0;0;1;1;1;25;5.129.686.857.062.280;1.0;1;2.403.919.209.995.120;17.781.083.831.303.000;1
0;1;0;0;1;1;0;29;8.336.584.987.362.370;1.0;0;10.469.816.970.769.900;0.4700144165664834;1
0;1;1;1;1;1;0;33;16.749.150.128.407.200;1.0;1;29.117.440.133.190.600;2.944.011.414.458.370;0
0;1;1;0;1;1;0;26;14.634.070.104.575.600;1.0;2;12.115.879.578.486.200;0.9747216937180944;1
0;1;0;0;1;12;0;31;29.413.970.136.594.300;12.0;20;14.514.353.286.809.300;14.390.183.528.850.800;0
1;0;0;0;1;1;1;23;18.145.971.578.175.800;1.0;1;19.281.692.678.050.000;15.317.336.965.826.900;1
1;1;0;0;1;1;0;28;2.419.959.185.318.040;1.0;2;10.152.798.205.075.900;1.067.772.138.388.970;0
0;1;1;1;1;12;1;34;11.496.079.547.186.200;9.0;1;26.427.719.703.469.500;2.492.826.314.363.070;0
0;0;0;0;1;1;1;30;16.704.449.971.423.300;1.0;7;2.344.395.260.080.290;24.936.257.662.312.500;0
0;1;1;1;1;12;1;29;59.803.126.535.668.100;12.0;6;2.275.885.466.533.240;2.531.185.530.426.690;0
0;1;0;0;1;12;1;27;2.347.699.295.124.090;11.0;4;5.410.054.460.060.270;53.684.153.086.386.700;0
1;1;0;0;0;1;1;25;2.514.583.500.319.220;1.0;2;0.9557186352995468;0.3658752226727858;1
0;1;1;1;1;6;0;29;8.890.794.258.372.070;6.0;1;3.272.647.095.890.070;34.071.510.162.640.700;0
1;1;1;1;1;12;1;29;2.054.779.368.486.620;12.0;9;2.745.098.447.042.120;2.733.828.018.761.540;0
0;1;1;1;1;12;1;32;2.586.483.831.413.870;12.0;2;0.9275427880054106;0.9283259966866128;0
1;1;1;0;1;1;0;31;19.138.688.101.892.700;1.0;2;1.818.105.337.256.100;1.822.569.193.691.030;0
1;1;1;1;1;6;0;33;13.159.350.534.816.500;4.0;2;16.917.685.839.133.400;15.514.089.576.137.500;0
0;0;0;0;1;1;0;23;5.916.390.792.720.020;1.0;0;0.5569303101938249;0.7016431375555228;1
1;0;0;0;1;1;0;32;3.016.247.074.768.340;1.0;3;1.208.335.701.472.370;0.6964942377807813;1
0;1;0;0;1;1;0;30;11.479.801.858.351.500;1.0;2;0.9923117660496328;0.6454407141065595;1
1;0;1;0;1;1;0;31;2.350.992.659.938.530;1.0;1;0.9738344685858789;0.5502849081008999;1
0;1;1;1;1;1;0;25;25.479.803.358.463.100;1.0;1;0.4582555774679724;0.44656164429724937;0
1;1;0;0;1;12;1;32;2.313.415.397.907.330;10.0;2;23.034.199.553.453.900;22.840.959.269.452.200;0
0;0;0;0;1;6;0;29;13.879.924.403.742.400;6.0;0;18.729.408.918.779.200;20.129.160.654.935.400;1
1;0;1;0;1;1;1;28;16.255.456.456.434.400;1.0;1;111.028.845.707.887;11.744.855.327.659.000;0
1;1;0;0;1;1;1;34;7.540.132.676.980.510;1.0;10;2.171.613.310.156.100;2.057.809.662.003.990;0
1;0;1;0;1;1;0;33;8.516.550.229.006.470;1.0;2;11.623.865.758.546.000;11.713.054.369.691.600;0
0;0;0;0;0;1;0;25;59.880.380.930.851.600;1.0;0;14.034.844.635.468.600;2.463.702.782.900.130;1
1;0;1;0;1;6;0;29;2.917.312.753.504.420;5.0;0;0.0;0.0;1
0;1;0;0;1;12;1;28;5.865.051.308.080.430;9.0;7;13.528.004.355.223.500;1.316.758.784.003.040;0
1;1;1;1;1;12;0;28;2.438.207.002.866.400;12.0;4;0.9152334018950924;0.8502862985811935;0
1;1;1;1;0;1;0;32;16.147.406.989.868.800;1.0;0;17.009.807.840.654.500;13.408.570.516.149.700;1
0;1;0;0;1;6;0;34;1.846.931.236.973.550;6.0;7;152.040.715.790.207;15.413.463.311.071.100;0
0;1;0;0;1;6;1;27;22.786.063.342.991.700;6.0;4;2.515.823.611.144.820;2.504.537.284.981.840;0
1;1;0;0;0;1;0;26;7.370.488.062.420.700;1.0;6;0.7706409023809214;0.4472650318654215;1
1;0;0;0;1;1;0;33;26.271.747.286.475.900;1.0;9;346.336.356.743.842;35.978.630.478.792.300;0
1;1;0;0;1;1;0;32;9.691.721.282.537.700;1.0;2;10.249.496.800.378.500;0.9065171189817901;1
0;1;0;0;1;1;0;28;22.623.141.041.910.400;1.0;6;0.4852549953585394;0.398128545468232;0
0;1;1;1;1;12;0;29;10.804.310.442.202.300;12.0;2;15.870.116.110.503.300;15.952.250.029.862.800;0
1;1;1;1;1;12;1;35;161.989.847.247.568;12.0;4;2.586.389.240.078.050;266.129.491.918.179;0
0;1;0;0;1;1;0;25;32.265.654.787.308.200;1.0;3;20.866.801.872.970.400;2.207.409.810.641.470;0
1;1;0;0;1;6;1;30;17.219.943.740.262.300;6.0;3;20.573.506.141.918.400;2.026.214.820.457.780;0
1;0;1;0;0;12;0;29;8.965.779.449.812.030;12.0;1;35.215.020.511.386.600;33.681.368.682.113.000;0
1;1;1;0;1;12;1;37;19.423.515.075.203.500;12.0;5;1.208.614.381.367.460;12.140.854.655.564.700;0
1;1;0;0;1;1;0;36;7.929.361.848.882.040;1.0;12;1.604.291.845.573.580;1.645.825.408.314.710;0
0;0;1;0;1;1;0;22;6.670.614.985.018.160;1.0;3;18.532.676.680.184.100;207.571.927.954.018;1
1;1;0;0;1;1;0;32;1.543.411.191.967.420;1.0;0;2.015.868.105.616.150;0.8723748441188264;1
1;0;0;0;1;6;0;32;2.647.647.420.446.210;6.0;2;0.053519430431405716;0.03331052989655837;0
0;0;1;0;1;6;0;30;20.880.618.511.574.700;6.0;3;30.416.046.203.876.600;3.110.076.817.789.310;0
1;1;1;1;1;1;1;29;17.552.462.363.115.400;1.0;5;10.190.217.458.217.200;1.017.565.050.274.960;0
0;1;1;1;1;12;0;30;15.744.673.126.842.900;11.0;1;2.076.114.091.220.580;2.099.662.224.144.160;0
1;1;0;0;1;12;0;28;4.167.071.747.042.400;7.0;6;3.486.852.743.640.960;35.904.443.382.122.500;0
1;1;1;1;1;12;1;32;207.524.673.359.496;9.0;1;0.07393214435487394;0.05415837225202568;0
1;1;0;0;1;1;0;31;32.954.612.276.586.600;1.0;1;26.572.141.694.696.100;27.075.474.106.192.500;0
0;1;1;1;0;1;1;26;1.425.417.175.113.820;1.0;0;10.152.820.552.008.700;0.5796092319974153;1
1;1;0;0;1;12;1;30;7.706.225.564.547.920;11.0;3;16.990.115.564.979.900;17.535.809.768.468.900;0
0;1;1;1;1;6;0;26;5.469.421.089.191.690;6.0;9;2.531.159.142.810.840;24.468.416.890.583;0
1;1;1;1;1;12;1;26;9.423.026.461.182.410;7.0;6;19.550.516.008.299.900;20.725.866.215.365.900;0
0;1;0;0;1;1;0;29;3.499.031.404.544.920;1.0;0;0.7213526713929127;0.9312736978082226;1
1;1;1;0;1;1;1;30;25.554.778.169.154.100;1.0;12;4.079.398.614.423.470;4.084.065.021.594.670;0
1;0;0;0;1;1;0;22;21.441.867.366.149.200;1.0;1;10.323.862.384.405.900;0.8683406273709459;1
0;1;1;1;1;1;0;23;1.748.732.368.744.850;1.0;0;2.331.755.076.778.540;26.025.437.349.470.800;1
1;0;0;0;1;1;0;31;10.468.044.618.332.500;1.0;1;19.521.192.413.290.400;2.080.270.202.754.120;1
1;1;0;0;1;1;1;32;7.280.895.435.796.620;1.0;5;0.6722669057848236;0.5775865817477115;0
0;1;1;1;1;6;0;34;7.504.623.523.493.050;5.0;5;14.324.635.058.331.600;15.107.794.637.226.400;0
1;1;0;1;1;1;1;31;12.205.642.080.994.300;1.0;0;18.283.412.546.372.000;19.772.811.626.470.900;0
0;1;0;0;1;6;0;29;14.313.548.853.575.700;5.0;4;0.0;0.0;0
1;1;1;1;1;1;1;27;2.294.853.857.224.890;1.0;0;0.6065449978443745;0.0;1
1;1;1;0;0;1;0;26;2.450.648.027.433.320;1.0;5;0.8102000549814791;0.04976688664030271;1
1;1;0;0;1;1;0;29;28.517.118.890.712.500;1.0;13;1.516.261.151.446.040;16.721.829.423.104.900;0
0;1;1;0;1;1;1;29;29.926.475.178.182.400;1.0;4;21.702.874.369.350.700;19.844.704.055.936.700;0
1;1;0;1;1;12;1;29;14.951.840.020.494.000;8.0;6;29.694.612.881.720.000;31.500.103.598.951.400;0
1;1;0;0;1;1;0;35;12.658.892.173.093.100;1.0;8;24.583.830.697.916.300;23.672.572.536.040.900;0
0;1;0;0;1;1;1;29;17.071.720.745.157.200;1.0;0;15.716.664.146.411.200;12.639.436.137.830.600;1
0;1;0;0;1;1;0;27;24.344.782.695.321.500;1.0;1;23.185.582.772.767.600;2.264.364.269.376.280;1
1;1;1;1;1;12;1;30;6.024.556.867.198.160;12.0;6;17.772.428.455.382.400;17.590.833.083.597.800;0
0;1;1;1;1;12;0;31;32.758.812.027.967.000;7.0;3;0.6749528874249242;0.7409735444788941;0
1;1;0;1;1;1;1;27;11.834.535.811.686.800;1.0;2;3.411.260.015.847.030;33.242.377.416.434.200;0
1;1;0;1;1;1;1;29;9.566.155.841.984.990;1.0;1;21.792.498.562.703.700;0.942721860001219;1
1;1;0;0;1;1;0;31;8.326.797.896.668.920;1.0;0;17.077.265.634.781.900;1.653.354.340.711.660;0
0;1;1;0;1;12;0;30;3.570.469.424.513.920;11.0;4;40.986.080.913.904.000;4.057.948.137.185.610;0
0;1;0;0;1;1;0;33;3.228.790.186.479.410;1.0;4;0.9473553934762664;0.9472708747130264;0
0;0;0;0;1;1;0;28;56.183.114.648.977.700;1.0;3;28.965.154.092.694.000;29.748.115.043.408.800;0
1;1;0;0;1;1;0;33;6.850.358.197.916.250;1.0;6;26.119.538.987.891.600;26.695.651.601.506.000;0
0;0;0;0;1;1;0;30;21.889.311.599.494.200;1.0;0;36.211.326.290.202.000;34.490.663.273.308.600;0
1;0;1;0;1;12;1;29;7.306.104.519.177.600;8.0;2;16.702.396.738.740.800;17.759.602.350.858.000;0
1;1;0;0;1;1;0;32;3.993.783.767.837.600;1.0;4;4.256.038.926.416.900;421.491.409.810.838;0
0;1;1;1;1;6;1;27;29.222.860.911.894.200;4.0;0;10.475.612.692.919.900;10.876.698.446.313.200;0
0;1;0;0;0;12;0;27;32.735.373.070.151.600;12.0;7;21.881.615.400.787.700;20.294.190.967.400.300;0
0;1;0;0;1;1;0;30;18.637.195.901.184.200;1.0;1;2.427.950.899.858.000;24.844.671.916.377.100;0
0;1;0;0;1;1;0;29;12.146.156.881.946.500;1.0;1;10.939.076.759.678.700;0.6093480449772486;1
0;1;1;0;1;1;0;26;23.116.588.854.529.300;1.0;4;0.6437481074940188;0.8713148362326104;0
1;1;1;0;1;12;0;30;17.443.058.712.331.600;11.0;9;1.696.863.335.086.210;16.012.410.500.461.900;0
0;0;1;0;0;6;0;33;53.124.270.062.825.600;5.0;0;2.993.532.299.480.020;2.910.933.669.513.470;0
1;0;1;1;1;12;0;29;17.172.584.607.432.900;12.0;9;26.694.114.034.494.200;27.910.690.859.003.200;0
0;1;0;0;0;1;0;29;2.417.016.740.555.340;1.0;4;1.690.379.651.877.280;15.950.648.887.526.400;0
1;1;1;1;1;12;1;33;2.356.397.654.490.460;9.0;6;15.385.059.691.761.800;16.177.014.901.365.900;0
1;1;0;0;1;1;0;27;1.841.724.486.788.890;1.0;2;13.818.421.474.264.000;15.885.763.663.507.600;1
0;1;1;1;1;12;1;27;11.126.584.600.918.800;12.0;5;0.7928850952572946;0.8763967341105697;0
0;1;0;0;1;1;0;32;2.300.573.528.337.170;1.0;2;13.567.633.054.584.500;13.049.607.872.517.900;0
0;1;1;0;1;1;0;34;4.649.219.971.093.140;1.0;0;10.107.713.015.838.700;0.0;1
1;1;0;0;1;1;0;25;15.314.317.819.578.700;1.0;0;0.3426641667775092;0.0;1
1;1;1;0;1;6;0;30;5.338.598.407.052.630;6.0;1;0.27554220401180074;0.24809500877600946;0
0;1;1;1;1;12;1;31;18.637.316.604.299.000;12.0;3;30.195.066.746.929.300;29.909.152.993.492.200;0
1;1;1;1;1;6;0;32;5.069.298.489.717.520;6.0;1;0.8942010887874274;0.7424297662291456;0
0;1;1;0;0;12;1;29;27.130.395.924.962.600;11.0;1;10.554.933.564.818.700;0.9680098326261101;0
0;1;1;0;0;6;1;29;14.113.879.614.444.700;3.0;2;0.5405685045768014;0.3361078997569328;0
1;1;1;0;1;1;0;31;18.013.137.194.111.100;1.0;5;380.716.382.010.512;37.472.519.665.228.900;0
1;1;0;0;1;1;0;23;1.311.115.714.669.620;1.0;0;16.926.318.901.698.500;22.791.150.015.900.500;1
0;1;0;0;0;1;0;32;18.658.564.433.799.900;1.0;0;0.9816010001433804;0.0;1
0;0;0;0;1;1;0;26;7.159.988.650.331.980;1.0;4;0.6831551928943704;0.6474292151927711;0
1;1;0;0;1;1;1;25;13.998.469.206.376.000;1.0;0;23.757.179.001.620.500;1.831.001.797.879.860;1
0;1;0;0;1;12;0;31;3.185.367.588.526.880;11.0;7;26.344.859.274.362.800;26.074.300.985.394.100;0
0;1;1;0;1;12;0;31;2.795.139.878.153.240;12.0;1;15.471.633.572.594.500;15.375.224.098.737.000;0
0;1;1;0;1;1;0;25;11.195.379.416.730.300;1.0;1;21.251.584.063.375.200;22.726.130.821.342.300;1
1;1;0;0;1;6;1;27;26.811.727.203.630.800;6.0;2;22.119.603.704.673.200;22.878.754.902.483.000;0
0;1;1;1;1;12;0;30;1.090.796.443.434.000;12.0;2;3.217.037.830.156.630;32.726.783.961.457.300;0
1;1;0;0;1;12;0;31;25.264.357.646.352.000;8.0;4;27.106.714.522.841.900;26.964.327.813.728.800;0
1;1;0;0;1;1;0;34;24.779.181.725.408.300;1.0;8;1.084.722.802.766.370;0.9928766632046948;0
1;0;1;1;1;1;0;24;2.770.356.467.212.180;1.0;1;11.569.019.805.294.600;0.13665809373976678;1
1;1;1;1;1;1;0;31;2.592.449.021.059.650;1.0;3;17.784.779.497.632.700;16.217.390.426.963.300;0
1;1;0;0;1;1;1;27;3.334.895.705.215.340;1.0;0;18.330.549.660.516.900;0.006397987892825753;1
0;1;0;0;1;1;0;25;11.184.578.933.272.000;1.0;8;30.553.544.380.048.900;31.553.893.366.375.100;0
0;1;1;1;1;12;1;31;1.911.440.194.124.340;7.0;5;38.261.366.626.517.100;3.762.327.666.183.230;0
1;1;1;0;1;1;1;34;1.907.505.073.605.870;1.0;1;0.0;0.0;0
1;1;0;0;0;1;0;33;32.556.886.044.222.800;1.0;15;2.580.107.042.179.020;2.764.951.972.182.000;0
1;1;1;0;1;1;1;32;20.716.620.910.982.800;1.0;3;29.548.077.365.200.600;29.696.108.724.575.900;0
0;0;0;0;1;1;0;30;8.225.533.188.214.420;1.0;2;10.537.086.592.921.300;0.8320129115833063;0
1;1;0;0;1;1;0;23;4.893.800.229.645.510;1.0;1;0.5312351376081262;0.05079090231440042;1
1;1;0;0;1;1;0;36;1.461.815.570.652.600;1.0;5;3.853.884.499.720.440;3.818.110.227.463.980;0
0;1;0;0;1;6;0;33;2.791.190.796.574.700;6.0;1;20.160.156.229.343.000;21.578.480.348.871.200;0
0;1;1;1;1;1;0;21;4.107.207.142.384.460;1.0;1;14.220.520.918.699.600;0.9528954012413046;1
0;1;0;0;1;1;0;26;2.172.981.721.426.600;1.0;1;13.870.798.372.779.100;15.335.982.093.585.300;0
1;1;1;0;1;12;0;29;875.214.008.607.283;11.0;6;23.125.068.300.709.300;22.092.832.225.117.800;0
0;1;0;1;1;1;1;36;10.317.368.375.861.900;1.0;4;0.7732412159808952;0.923840975157221;0
0;1;0;0;1;12;0;30;2.912.141.628.160.040;11.0;5;307.474.708.465.527;31.468.147.365.972.300;0
1;1;1;1;1;6;1;32;296.026.016.900.965;6.0;1;0.9933230685190544;10.729.988.661.372.600;0
0;1;0;0;1;6;1;27;19.668.546.126.591.400;6.0;1;1.069.101.681.696.980;0.9929963451421928;0
0;1;1;0;1;1;0;30;4.427.186.794.015.730;1.0;2;11.143.415.548.077.400;0.3395328499845527;1
