gender,Near_Location,Partner,Promo_friends,Phone,Contract_period,Group_visits,Age,Month_to_end_contract,Lifetime,Churn,genero_texto,grupo_edad,tipo_contrato,nivel_compromiso,perfil_captacion,segmento_lifetime
0,1,1,1,1,12,1,34,9.0,1,0,Mujer,31-35,anual,alto,referido_contactado,nuevo
0,0,0,0,1,1,1,30,1.0,7,0,Mujer,26-30,mensual,bajo,organico_contactado,intermedio
0,1,1,1,1,12,1,29,12.0,6,0,Mujer,26-30,anual,alto,referido_contactado,intermedio
0,1,0,0,1,12,1,27,11.0,4,0,Mujer,26-30,anual,alto,organico_contactado,intermedio
1,1,0,0,0,1,1,25,1.0,2,1,Hombre,18-25,mensual,bajo,organico_sin_contacto,nuevo
0,1,1,1,1,6,0,29,6.0,1,0,Mujer,26-30,semestral,medio,referido_contactado,nuevo
1,1,1,1,1,12,1,29,12.0,9,0,Hombre,26-30,anual,alto,referido_contactado,intermedio
0,1,1,1,1,12,1,32,12.0,2,0,Mujer,31-35,anual,alto,referido_contactado,nuevo
1,1,1,0,1,1,0,31,1.0,2,0,Hombre,31-35,mensual,bajo,organico_contactado,nuevo
1,1,1,1,1,6,0,33,4.0,2,0,Hombre,31-35,semestral,medio,referido_contactado,nuevo
0,0,0,0,1,1,0,23,1.0,0,1,Mujer,18-25,mensual,bajo,organico_contactado,nuevo
1,0,0,0,1,1,0,32,1.0,3,1,Hombre,31-35,mensual,bajo,organico_contactado,nuevo
0,1,0,0,1,1,0,30,1.0,2,1,Mujer,26-30,mensual,bajo,organico_contactado,nuevo
1,0,1,0,1,1,0,31,1.0,1,1,Hombre,31-35,mensual,bajo,organico_contactado,nuevo
0,1,1,1,1,1,0,25,1.0,1,0,Mujer,18-25,mensual,bajo,referido_contactado,nuevo
1,1,0,0,1,12,1,32,10.0,2,0,Hombre,31-35,anual,alto,organico_contactado,nuevo
0,0,0,0,1,6,0,29,6.0,0,1,Mujer,26-30,semestral,medio,organico_contactado,nuevo
1,0,1,0,1,1,1,28,1.0,1,0,Hombre,26-30,mensual,bajo,organico_contactado,nuevo
1,1,0,0,1,1,1,34,1.0,10,0,Hombre,31-35,mensual,bajo,organico_contactado,intermedio
1,0,1,0,1,1,0,33,1.0,2,0,Hombre,31-35,mensual,bajo,organico_contactado,nuevo
0,0,0,0,0,1,0,25,1.0,0,1,Mujer,18-25,mensual,bajo,organico_sin_contacto,nuevo
1,0,1,0,1,6,0,29,5.0,0,1,Hombre,26-30,semestral,medio,organico_contactado,nuevo
0,1,0,0,1,12,1,28,9.0,7,0,Mujer,26-30,anual,alto,organico_contactado,intermedio
1,1,1,1,1,12,0,28,12.0,4,0,Hombre,26-30,anual,alto,referido_contactado,intermedio
1,1,1,1,0,1,0,32,1.0,0,1,Hombre,31-35,mensual,bajo,referido_sin_contacto,nuevo
0,1,0,0,1,6,0,34,6.0,7,0,Mujer,31-35,semestral,medio,organico_contactado,intermedio
0,1,0,0,1,6,1,27,6.0,4,0,Mujer,26-30,semestral,medio,organico_contactado,intermedio
1,1,0,0,0,1,0,26,1.0,6,1,Hombre,26-30,mensual,bajo,organico_sin_contacto,intermedio
1,0,0,0,1,1,0,33,1.0,9,0,Hombre,31-35,mensual,bajo,organico_contactado,intermedio
1,1,0,0,1,1,0,32,1.0,2,1,Hombre,31-35,mensual,bajo,organico_contactado,nuevo
0,1,0,0,1,1,0,28,1.0,6,0,Mujer,26-30,mensual,bajo,organico_contactado,intermedio
0,1,1,1,1,12,0,29,12.0,2,0,Mujer,26-30,anual,alto,referido_contactado,nuevo
1,1,1,1,1,12,1,35,12.0,4,0,Hombre,31-35,anual,alto,referido_contactado,intermedio
0,1,0,0,1,1,0,25,1.0,3,0,Mujer,18-25,mensual,bajo,organico_contactado,nuevo
1,1,0,0,1,6,1,30,6.0,3,0,Hombre,26-30,semestral,medio,organico_contactado,nuevo
1,0,1,0,0,12,0,29,12.0,1,0,Hombre,26-30,anual,alto,organico_sin_contacto,nuevo
1,1,1,0,1,12,1,37,12.0,5,0,Hombre,36-41,anual,alto,organico_contactado,intermedio
1,1,0,0,1,1,0,36,1.0,12,0,Hombre,36-41,mensual,bajo,organico_contactado,intermedio
0,0,1,0,1,1,0,22,1.0,3,1,Mujer,18-25,mensual,bajo,organico_contactado,nuevo
1,1,0,0,1,1,0,32,1.0,0,1,Hombre,31-35,mensual,bajo,organico_contactado,nuevo
1,0,0,0,1,6,0,32,6.0,2,0,Hombre,31-35,semestral,medio,organico_contactado,nuevo
0,0,1,0,1,6,0,30,6.0,3,0,Mujer,26-30,semestral,medio,organico_contactado,nuevo
1,1,1,1,1,1,1,29,1.0,5,0,Hombre,26-30,mensual,bajo,referido_contactado,intermedio
0,1,1,1,1,12,0,30,11.0,1,0,Mujer,26-30,anual,alto,referido_contactado,nuevo
1,1,0,0,1,12,0,28,7.0,6,0,Hombre,26-30,anual,alto,organico_contactado,intermedio
1,1,1,1,1,12,1,32,9.0,1,0,Hombre,31-35,anual,alto,referido_contactado,nuevo
1,1,0,0,1,1,0,31,1.0,1,0,Hombre,31-35,mensual,bajo,organico_contactado,nuevo
0,1,1,1,0,1,1,26,1.0,0,1,Mujer,26-30,mensual,bajo,referido_sin_contacto,nuevo
1,1,0,0,1,12,1,30,11.0,3,0,Hombre,26-30,anual,alto,organico_contactado,nuevo
0,1,1,1,1,6,0,26,6.0,9,0,Mujer,26-30,semestral,medio,referido_contactado,intermedio
1,1,1,1,1,12,1,26,7.0,6,0,Hombre,26-30,anual,alto,referido_contactado,intermedio
0,1,0,0,1,1,0,29,1.0,0,1,Mujer,26-30,mensual,bajo,organico_contactado,nuevo
1,1,1,0,1,1,1,30,1.0,12,0,Hombre,26-30,mensual,bajo,organico_contactado,intermedio
1,0,0,0,1,1,0,22,1.0,1,1,Hombre,18-25,mensual,bajo,organico_contactado,nuevo
0,1,1,1,1,1,0,23,1.0,0,1,Mujer,18-25,mensual,bajo,referido_contactado,nuevo
1,0,0,0,1,1,0,31,1.0,1,1,Hombre,31-35,mensual,bajo,organico_contactado,nuevo
1,1,0,0,1,1,1,32,1.0,5,0,Hombre,31-35,mensual,bajo,organico_contactado,intermedio
0,1,1,1,1,6,0,34,5.0,5,0,Mujer,31-35,semestral,medio,referido_contactado,intermedio
1,1,0,1,1,1,1,31,1.0,0,0,Hombre,31-35,mensual,bajo,referido_contactado,nuevo
0,1,0,0,1,6,0,29,5.0,4,0,Mujer,26-30,semestral,medio,organico_contactado,intermedio
1,1,1,1,1,1,1,27,1.0,0,1,Hombre,26-30,mensual,bajo,referido_contactado,nuevo
1,1,1,0,0,1,0,26,1.0,5,1,Hombre,26-30,mensual,bajo,organico_sin_contacto,intermedio
1,1,0,0,1,1,0,29,1.0,13,0,Hombre,26-30,mensual,bajo,organico_contactado,veterano
0,1,1,0,1,1,1,29,1.0,4,0,Mujer,26-30,mensual,bajo,organico_contactado,intermedio
1,1,0,1,1,12,1,29,8.0,6,0,Hombre,26-30,anual,alto,referido_contactado,intermedio
1,1,0,0,1,1,0,35,1.0,8,0,Hombre,31-35,mensual,bajo,organico_contactado,intermedio
0,1,0,0,1,1,1,29,1.0,0,1,Mujer,26-30,mensual,bajo,organico_contactado,nuevo
0,1,0,0,1,1,0,27,1.0,1,1,Mujer,26-30,mensual,bajo,organico_contactado,nuevo
1,1,1,1,1,12,1,30,12.0,6,0,Hombre,26-30,anual,alto,referido_contactado,intermedio
0,1,1,1,1,12,0,31,7.0,3,0,Mujer,31-35,anual,alto,referido_contactado,nuevo
1,1,0,1,1,1,1,27,1.0,2,0,Hombre,26-30,mensual,bajo,referido_contactado,nuevo
1,1,0,1,1,1,1,29,1.0,1,1,Hombre,26-30,mensual,bajo,referido_contactado,nuevo
1,1,0,0,1,1,0,31,1.0,0,0,Hombre,31-35,mensual,bajo,organico_contactado,nuevo
0,1,1,0,1,12,0,30,11.0,4,0,Mujer,26-30,anual,alto,organico_contactado,intermedio
0,1,0,0,1,1,0,33,1.0,4,0,Mujer,31-35,mensual,bajo,organico_contactado,intermedio
0,0,0,0,1,1,0,28,1.0,3,0,Mujer,26-30,mensual,bajo,organico_contactado,nuevo
1,1,0,0,1,1,0,33,1.0,6,0,Hombre,31-35,mensual,bajo,organico_contactado,intermedio
0,0,0,0,1,1,0,30,1.0,0,0,Mujer,26-30,mensual,bajo,organico_contactado,nuevo
1,0,1,0,1,12,1,29,8.0,2,0,Hombre,26-30,anual,alto,organico_contactado,nuevo
1,1,0,0,1,1,0,32,1.0,4,0,Hombre,31-35,mensual,bajo,organico_contactado,intermedio
0,1,1,1,1,6,1,27,4.0,0,0,Mujer,26-30,semestral,medio,referido_contactado,nuevo
0,1,0,0,0,12,0,27,12.0,7,0,Mujer,26-30,anual,alto,organico_sin_contacto,intermedio
0,1,0,0,1,1,0,30,1.0,1,0,Mujer,26-30,mensual,bajo,organico_contactado,nuevo
0,1,0,0,1,1,0,29,1.0,1,1,Mujer,26-30,mensual,bajo,organico_contactado,nuevo
0,1,1,0,1,1,0,26,1.0,4,0,Mujer,26-30,mensual,bajo,organico_contactado,intermedio
1,1,1,0,1,12,0,30,11.0,9,0,Hombre,26-30,anual,alto,organico_contactado,intermedio
0,0,1,0,0,6,0,33,5.0,0,0,Mujer,31-35,semestral,medio,organico_sin_contacto,nuevo
1,0,1,1,1,12,0,29,12.0,9,0,Hombre,26-30,anual,alto,referido_contactado,intermedio
0,1,0,0,0,1,0,29,1.0,4,0,Mujer,26-30,mensual,bajo,organico_sin_contacto,intermedio
1,1,1,1,1,12,1,33,9.0,6,0,Hombre,31-35,anual,alto,referido_contactado,intermedio
1,1,0,0,1,1,0,27,1.0,2,1,Hombre,26-30,mensual,bajo,organico_contactado,nuevo
0,1,1,1,1,12,1,27,12.0,5,0,Mujer,26-30,anual,alto,referido_contactado,intermedio
0,1,0,0,1,1,0,32,1.0,2,0,Mujer,31-35,mensual,bajo,organico_contactado,nuevo
0,1,1,0,1,1,0,34,1.0,0,1,Mujer,31-35,mensual,bajo,organico_contactado,nuevo
1,1,0,0,1,1,0,25,1.0,0,1,Hombre,18-25,mensual,bajo,organico_contactado,nuevo
1,1,1,0,1,6,0,30,6.0,1,0,Hombre,26-30,semestral,medio,organico_contactado,nuevo
0,1,1,1,1,12,1,31,12.0,3,0,Mujer,31-35,anual,alto,referido_contactado,nuevo
1,1,1,1,1,6,0,32,6.0,1,0,Hombre,31-35,semestral,medio,referido_contactado,nuevo
0,1,1,0,0,12,1,29,11.0,1,0,Mujer,26-30,anual,alto,organico_sin_contacto,nuevo
0,1,1,0,0,6,1,29,3.0,2,0,Mujer,26-30,semestral,medio,organico_sin_contacto,nuevo
1,1,1,0,1,1,0,31,1.0,5,0,Hombre,31-35,mensual,bajo,organico_contactado,intermedio
1,1,0,0,1,1,0,23,1.0,0,1,Hombre,18-25,mensual,bajo,organico_contactado,nuevo
0,1,0,0,0,1,0,32,1.0,0,1,Mujer,31-35,mensual,bajo,organico_sin_contacto,nuevo
0,0,0,0,1,1,0,26,1.0,4,0,Mujer,26-30,mensual,bajo,organico_contactado,intermedio
1,1,0,0,1,1,1,25,1.0,0,1,Hombre,18-25,mensual,bajo,organico_contactado,nuevo
0,1,0,0,1,12,0,31,11.0,7,0,Mujer,31-35,anual,alto,organico_contactado,intermedio
0,1,1,0,1,12,0,31,12.0,1,0,Mujer,31-35,anual,alto,organico_contactado,nuevo
0,1,1,0,1,1,0,25,1.0,1,1,Mujer,18-25,mensual,bajo,organico_contactado,nuevo
1,1,0,0,1,6,1,27,6.0,2,0,Hombre,26-30,semestral,medio,organico_contactado,nuevo
0,1,1,1,1,12,0,30,12.0,2,0,Mujer,26-30,anual,alto,referido_contactado,nuevo
1,1,0,0,1,12,0,31,8.0,4,0,Hombre,31-35,anual,alto,organico_contactado,intermedio
1,1,0,0,1,1,0,34,1.0,8,0,Hombre,31-35,mensual,bajo,organico_contactado,intermedio
1,0,1,1,1,1,0,24,1.0,1,1,Hombre,18-25,mensual,bajo,referido_contactado,nuevo
1,1,1,1,1,1,0,31,1.0,3,0,Hombre,31-35,mensual,bajo,referido_contactado,nuevo
1,1,0,0,1,1,1,27,1.0,0,1,Hombre,26-30,mensual,bajo,organico_contactado,nuevo
0,1,0,0,1,1,0,25,1.0,8,0,Mujer,18-25,mensual,bajo,organico_contactado,intermedio
0,1,1,1,1,12,1,31,7.0,5,0,Mujer,31-35,anual,alto,referido_contactado,intermedio
1,1,1,0,1,1,1,34,1.0,1,0,Hombre,31-35,mensual,bajo,organico_contactado,nuevo
1,1,0,0,0,1,0,33,1.0,15,0,Hombre,31-35,mensual,bajo,organico_sin_contacto,veterano
1,1,1,0,1,1,1,32,1.0,3,0,Hombre,31-35,mensual,bajo,organico_contactado,nuevo
0,0,0,0,1,1,0,30,1.0,2,0,Mujer,26-30,mensual,bajo,organico_contactado,nuevo
1,1,0,0,1,1,0,23,1.0,1,1,Hombre,18-25,mensual,bajo,organico_contactado,nuevo
1,1,0,0,1,1,0,36,1.0,5,0,Hombre,36-41,mensual,bajo,organico_contactado,intermedio
0,1,0,0,1,6,0,33,6.0,1,0,Mujer,31-35,semestral,medio,organico_contactado,nuevo
0,1,1,1,1,1,0,21,1.0,1,1,Mujer,18-25,mensual,bajo,referido_contactado,nuevo
0,1,0,0,1,1,0,26,1.0,1,0,Mujer,26-30,mensual,bajo,organico_contactado,nuevo
1,1,1,0,1,12,0,29,11.0,6,0,Hombre,26-30,anual,alto,organico_contactado,intermedio
0,1,0,1,1,1,1,36,1.0,4,0,Mujer,36-41,mensual,bajo,referido_contactado,intermedio
0,1,0,0,1,12,0,30,11.0,5,0,Mujer,26-30,anual,alto,organico_contactado,intermedio
1,1,1,1,1,6,1,32,6.0,1,0,Hombre,31-35,semestral,medio,referido_contactado,nuevo
0,1,0,0,1,6,1,27,6.0,1,0,Mujer,26-30,semestral,medio,organico_contactado,nuevo
0,1,1,0,1,1,0,30,1.0,2,1,Mujer,26-30,mensual,bajo,organico_contactado,nuevo
1,1,1,1,1,12,0,31,12.0,7,0,Hombre,31-35,anual,alto,referido_contactado,intermedio
1,0,1,0,0,1,1,28,1.0,1,1,Hombre,26-30,mensual,bajo,organico_sin_contacto,nuevo
0,0,0,0,1,1,0,27,1.0,6,0,Mujer,26-30,mensual,bajo,organico_contactado,intermedio
0,1,0,0,1,12,1,30,9.0,17,0,Mujer,26-30,anual,alto,organico_contactado,veterano
0,1,1,1,1,12,0,26,9.0,7,0,Mujer,26-30,anual,alto,referido_contactado,intermedio
1,1,0,0,1,1,1,28,1.0,4,0,Hombre,26-30,mensual,bajo,organico_contactado,intermedio
0,1,1,0,1,12,0,26,12.0,9,0,Mujer,26-30,anual,alto,organico_contactado,intermedio
0,1,1,1,1,1,0,30,1.0,4,0,Mujer,26-30,mensual,bajo,referido_contactado,intermedio
0,0,0,0,1,1,0,26,1.0,2,1,Mujer,26-30,mensual,bajo,organico_contactado,nuevo
1,0,1,0,1,6,0,30,6.0,1,0,Hombre,26-30,semestral,medio,organico_contactado,nuevo
0,1,0,0,1,1,0,32,1.0,7,0,Mujer,31-35,mensual,bajo,organico_contactado,intermedio
0,1,0,0,0,12,1,32,8.0,1,0,Mujer,31-35,anual,alto,organico_sin_contacto,nuevo
0,1,0,1,1,6,0,34,6.0,3,0,Mujer,31-35,semestral,medio,referido_contactado,nuevo
0,1,0,0,1,1,0,32,1.0,2,0,Mujer,31-35,mensual,bajo,organico_contactado,nuevo
0,1,0,0,1,1,1,37,1.0,3,0,Mujer,36-41,mensual,bajo,organico_contactado,nuevo
1,0,0,1,1,6,1,27,6.0,5,0,Hombre,26-30,semestral,medio,referido_contactado,intermedio
0,1,0,0,1,1,0,31,1.0,7,0,Mujer,31-35,mensual,bajo,organico_contactado,intermedio
1,1,1,0,1,6,0,33,6.0,7,0,Hombre,31-35,semestral,medio,organico_contactado,intermedio
1,1,0,0,1,1,1,32,1.0,2,0,Hombre,31-35,mensual,bajo,organico_contactado,nuevo
0,1,1,0,1,1,0,29,1.0,0,0,Mujer,26-30,mensual,bajo,organico_contactado,nuevo
1,1,1,1,1,6,1,30,6.0,2,0,Hombre,26-30,semestral,medio,referido_contactado,nuevo
1,0,0,0,1,1,0,30,1.0,2,0,Hombre,26-30,mensual,bajo,organico_contactado,nuevo
0,1,0,0,1,1,1,28,1.0,1,1,Mujer,26-30,mensual,bajo,organico_contactado,nuevo
